feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target
E2_hex_char_share_path,continuous,0.23763287430132268,0.01749395850538838,0.2828803692451213,0.2324692192013189,,0.1538461595773697,0.2641509473323822,0.37931033968925476,0.0,0.24193547666072845,0.3404255211353302
E2_upper_to_alpha_ratio,continuous,0.06144214951813197,0.0022746092320926076,0.025741210492028623,0.026309579273488197,,0.0,0.0,0.0,0.0,0.0,0.0
E2_bucket_url_len,continuous,0.09783145663858177,0.0024218239010854745,2.10042,1.98911,,1.0,2.0,3.0,1.0,2.0,3.0
E2_bucket_host_len,continuous,0.033593567878532765,0.00209489365811111,2.074725,2.100015,,1.0,2.0,3.0,1.0,2.0,3.0
E2_bucket_path_segments,continuous,0.1141931877827658,0.009850277771062472,1.71796,1.59645,,1.0,2.0,3.0,1.0,2.0,3.0
E2_bucket_body_token_count,continuous,0.045793292793160016,0.0011977183821660364,2.19636,2.132675,,1.0,2.0,3.0,1.0,2.0,3.0
E2_bucket_host_label_count,continuous,0.44753634201016634,7.50004057583995e-06,1.641155,1.855835,,1.0,2.0,2.0,2.0,2.0,2.0
E2_bucket_gzip_ratio_body,continuous,0.07190121102124453,0.0031427937508416485,1.96797,2.07252,,1.0,2.0,3.0,1.0,2.0,3.0
E2_bucket_bigram_entropy_norm,continuous,0.04971248653037961,0.0003411532739076889,1.9708,2.040445,,1.0,2.0,3.0,1.0,2.0,3.0
E2_prank_v7_host_token_share,continuous,0.18369177874256784,0.02580989666992223,0.5074865010161672,0.5624065389928644,,0.2841525077819824,0.5431699752807617,0.7170550227165222,0.2841525077819824,0.5431699752807617,0.8125349879264832
E2_prank_v7_digit_position_rank,continuous,0.15355328631240645,0.014642673591924052,0.6413274432048202,0.6217953566023707,,0.5128675103187561,0.5421974956989288,0.7686137557029724,0.5128675103187561,0.5128675103187561,0.7129781395196915
E2_prank_v7_path_host_len_ratio,continuous,0.15307742470747404,0.03801103913762628,0.5030155405166372,0.5000759172584396,,0.2920975089073181,0.4884225130081177,0.7298824787139893,0.20165500044822693,0.5152524709701538,0.7728949785232544
E2_prank_v7_entropy_self_normalised,continuous,0.10223083130113131,0.0027199458192830764,0.48517117882443106,0.514906788158473,,0.2313375025987625,0.47878000140190125,0.7363625168800354,0.2696806266903877,0.5204675197601318,0.7634249925613403
E2_prank_v7_path_segment_len_cv,continuous,0.11824226272984968,0.010553932838417665,0.6043549362328648,0.6228017903253437,,0.4757224917411804,0.5053325295448303,0.7236775159835815,0.4757224917411804,0.5013149976730347,0.7786474823951721
E2_prank_v7_uppercase_ratio,continuous,0.055872221885242185,0.001851121674716531,0.8202974952968956,0.8199473046454787,,0.8000875115394592,0.8000875115394592,0.8000875115394592,0.8000875115394592,0.8000875115394592,0.8000875115394592
E2_prank_token_len_cv,continuous,0.3112793215461515,0.025274111995459193,0.545899277890499,0.4545648927898888,,0.29967498779296875,0.5715699791908264,0.8085525035858154,0.21862250566482544,0.43392249941825867,0.6818575263023376
E2_prank_longest_token_share,continuous,0.16322463107187205,0.009253970362234028,0.5240279552739896,0.4801021925969896,,0.2879500091075897,0.5415999889373779,0.7584649920463562,0.21492999792099,0.46391749382019043,0.738165020942688
