feature,type,wasserstein_norm,js_divergence,mean_source,mean_target,prevalence_diff,q25_source,median_source,q75_source,q25_target,median_target,q75_target,group
R_mean_path_segment_length,continuous,0.14097219979608008,0.02110105038081624,11.71602982073307,11.832695373517275,,6.5,10.0,14.25,3.0,9.75,15.666666984558105,path
R_body_delimiter_density,continuous,0.13993579620722937,0.010897835976669514,0.1326777942825621,0.13773865942107572,,0.10526315867900848,0.13114753365516663,0.15789473056793213,0.11428571492433548,0.13698630034923553,0.15909090638160706,delimiters
R_host_digit_count,continuous,0.13910377248242214,0.0057679395922039176,0.923395,1.0056,,0.0,0.0,0.0,0.0,0.0,0.0,host
R_body_special_ratio,continuous,0.13801028652136724,0.010910746945134912,0.13444361267546656,0.139098660870046,,0.1071428582072258,0.1320754736661911,0.15789473056793213,0.11538461595773697,0.13793103396892548,0.1599999964237213,character
D_host_tld_class,continuous,0.13174471802151697,0.011099755442513477,0.482725,0.525265,,0.0,0.0,1.0,0.0,0.0,1.0,other
R_fragment_present,binary/count,0.11950561716678004,0.004955664730173609,0.019465,0.002955,-0.01651,0.0,0.0,0.0,0.0,0.0,0.0,other
R_host_alpha_ratio,continuous,0.11800650929666892,0.03238236620268978,0.8569596419102699,0.8518660300518572,,0.837837815284729,0.8888888955116272,0.9230769276618958,0.8421052694320679,0.875,0.9047619104385376,host
D_host_entropy_norm_z,continuous,0.1093617185857225,0.014697900132630703,3.5061078552526235,3.46226177942276,,3.251629114151001,3.5068905353546143,3.7526369094848633,3.1820058822631836,3.461320161819458,3.740953207015991,other
R_host_entropy,continuous,0.1093617185857225,0.014697900132630703,3.5061078552526235,3.46226177942276,,3.251629114151001,3.5068905353546143,3.7526369094848633,3.1820058822631836,3.461320161819458,3.740953207015991,host
D_path_token_ratio,continuous,0.1089099834091193,0.029100797744738536,2.3376029045040907,2.3672514756432177,,1.5,2.0,2.6666667461395264,1.600000023841858,2.0,2.7142856121063232,domain_invariant
R_body_special_count,continuous,0.10756634285499077,0.004745462645840453,7.552195,6.878865,,4.0,6.0,9.0,4.0,6.0,8.0,character
R_has_ip,binary/count,0.10474328596521508,0.004592069884602898,0.012,0.000595,-0.011405,0.0,0.0,0.0,0.0,0.0,0.0,protocol_port
R_numeric_host_ratio,continuous,0.10379962429360573,0.0,0.013429558837488293,0.0019104524064064027,,0.0,0.0,0.0,0.0,0.0,0.0,host
R_body_underscore_count,continuous,0.09626223229296482,0.0015446007726679586,0.21239,0.23648,,0.0,0.0,0.0,0.0,0.0,0.0,delimiters
R_fragment_length,continuous,0.09285736291042038,0.0,0.261365,0.17643,,0.0,0.0,0.0,0.0,0.0,0.0,length
R_urgency_token_count,continuous,0.09233713228204342,0.0,0.021335,0.00756,,0.0,0.0,0.0,0.0,0.0,0.0,semantic
R_body_token_count,continuous,0.08476331181961015,0.002679582490959775,7.914965,7.41344,,4.0,6.0,9.0,4.0,6.0,9.0,tokens
D_body_is_https,binary/count,0.0813203823050155,0.002008464940696768,0.01196,0.00312,-0.00884,0.0,0.0,0.0,0.0,0.0,0.0,domain_invariant
R_path_length,continuous,0.08089285934817302,0.025008145019236108,28.170855,27.76498,,9.0,19.0,39.0,3.0,20.0,41.0,length
R_repeated_char_run_count,continuous,0.07108330248016301,0.00047092961656611314,0.40205,0.40519,,0.0,0.0,1.0,0.0,0.0,1.0,character
R_digit_host_ratio,continuous,0.06746903324348813,0.008873442271278509,0.036649894030354915,0.030566058668852782,,0.0,0.0,0.0,0.0,0.0,0.0,host
D_body_scheme_ratio,continuous,0.06618938066552903,0.0,0.0007601316982205026,0.00022369142388051842,,0.0,0.0,0.0,0.0,0.0,0.0,other
R_at_symbol_present,binary/count,0.056859574677107116,0.0008047650732620917,0.011645,0.005545,-0.006100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,delimiters
R_hostname_length,continuous,0.04661417118301829,0.003613233621688157,21.238465,21.073035,,15.0,19.0,25.0,15.0,19.0,25.0,length
R_brand_token_count,continuous,0.04630430746520106,2.1312146071607286e-05,0.131475,0.112855,,0.0,0.0,0.0,0.0,0.0,0.0,semantic
D_has_port_binary,binary/count,0.025915231557305483,0.000227075215743487,0.00099,0.000175,-0.000815,0.0,0.0,0.0,0.0,0.0,0.0,domain_invariant
R_explicit_port,binary/count,0.025915231557305483,0.000227075215743487,0.00099,0.000175,-0.000815,0.0,0.0,0.0,0.0,0.0,0.0,protocol_port
D_path_depth_binary,binary/count,0.025056079596505992,0.00011300222464307733,0.54141,0.528925,-0.012484999999999968,0.0,1.0,1.0,0.0,1.0,1.0,other
R_percent_encoding_count,continuous,0.021061057547759575,0.0,0.191885,0.14531,,0.0,0.0,0.0,0.0,0.0,0.0,encoding_obfuscation
R_double_slash_path,binary/count,0.016516578008490383,6.684676404779041e-05,0.00109,0.000545,-0.000545,0.0,0.0,0.0,0.0,0.0,0.0,delimiters
R_has_punycode,binary/count,0.013109296605045036,4.306924748628898e-05,0.000615,0.00029,-0.000325,0.0,0.0,0.0,0.0,0.0,0.0,encoding_obfuscation
R_body_non_ascii_ratio,continuous,0.012874816885434777,0.0,4.710045866668224e-06,1.651378832757473e-05,,0.0,0.0,0.0,0.0,0.0,0.0,encoding_obfuscation
R_mixed_script,binary/count,0.011180367838427428,7.145839087411894e-06,5e-06,3e-05,2.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,encoding_obfuscation
R_non_default_port,binary/count,0.006325346038013759,9.115003144554814e-06,0.00025,0.00015,-0.00010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,protocol_port
R_homoglyph_present,binary/count,0.006067965633528425,1.237044386691116e-05,5.5e-05,1e-05,-4.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,encoding_obfuscation
