run,model,config_id,params,n_estimators,tune_roc_auc
gram|F48,XGBoost,11,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 1, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}",1779.0,0.9651822024164167
gram|F68RV2,LogisticRegression,0,"{""C"": 0.1}",,0.9408066501191837
gram|F68RV2,LogisticRegression,1,"{""C"": 1.0}",,0.9417381725779564
gram|F68RV2,LogisticRegression,2,"{""C"": 10.0}",,0.941882237607286
gram|F68RV2,RandomForest,0,"{""max_depth"": 10, ""min_samples_leaf"": 10}",,0.9397008474429981
gram|F68RV2,RandomForest,1,"{""max_depth"": 12, ""min_samples_leaf"": 10}",,0.9486061893914355
gram|F68RV2,RandomForest,2,"{""max_depth"": 12, ""min_samples_leaf"": 30}",,0.9464040709583335
gram|F68RV2,LightGBM,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""min_child_samples"": 20, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",282.0,0.9712758500829858
gram|F68RV2,LightGBM,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0}",765.0,0.9723125801894237
gram|F68RV2,LightGBM,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",525.0,0.9720364144769686
gram|F68RV2,LightGBM,3,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",1179.0,0.9715295694164341
gram|F68RV2,LightGBM,4,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",523.0,0.9718549641643528
gram|F68RV2,LightGBM,5,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}",1353.0,0.9718691817744773
gram|F68RV2,LightGBM,6,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""min_child_samples"": 100, ""num_leaves"": 127, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",719.0,0.972767963380621
gram|F68RV2,LightGBM,7,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""min_child_samples"": 50, ""num_leaves"": 127, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",377.0,0.9719049689740966
gram|F68RV2,XGBoost,0,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 10, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}",435.0,0.9712477647272896
gram|F68RV2,XGBoost,1,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1405.0,0.9703694886456989
gram|F68RV2,XGBoost,2,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",649.0,0.9710946894797847
gram|F68RV2,XGBoost,3,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",1803.0,0.9711208405072923
gram|F68RV2,XGBoost,4,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.7}",1166.0,0.9715174450348628
gram|F68RV2,XGBoost,5,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",1909.0,0.971240058343356
gram|F68RV2,XGBoost,6,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",801.0,0.9721708072978538
gram|F68RV2,XGBoost,7,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}",1731.0,0.9715534558299952
gram|F68RV2,XGBoost,8,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",601.0,0.9708105007176695
gram|F68RV2,XGBoost,9,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",2000.0,0.9700909419815305
gram|F68RV2,XGBoost,10,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1405.0,0.9701074369743808
gram|F68RV2,XGBoost,11,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",587.0,0.9712346693509902
phresh|F48,LogisticRegression,0,"{""C"": 0.1}",,0.9036194229202129
phresh|F48,LogisticRegression,1,"{""C"": 1.0}",,0.9043793653370865
phresh|F48,LogisticRegression,2,"{""C"": 10.0}",,0.9043956234911589
phresh|F48,RandomForest,0,"{""max_depth"": 10, ""min_samples_leaf"": 10}",,0.9164802562259852
phresh|F48,RandomForest,1,"{""max_depth"": 12, ""min_samples_leaf"": 10}",,0.9253030756187502
phresh|F48,RandomForest,2,"{""max_depth"": 12, ""min_samples_leaf"": 30}",,0.9199885509881242
phresh|F48,LightGBM,0,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",818.0,0.9491252739997423
phresh|F48,LightGBM,1,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""min_child_samples"": 50, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",93.0,0.9502232785779872
phresh|F48,LightGBM,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",968.0,0.9496915570255029
phresh|F48,LightGBM,3,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.1, ""min_child_samples"": 20, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",223.0,0.9508423360583015
phresh|F48,LightGBM,4,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""min_child_samples"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",437.0,0.9519032042650893
phresh|F48,LightGBM,5,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",959.0,0.9499170233849462
phresh|F48,LightGBM,6,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""min_child_samples"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",297.0,0.9502916697338798
phresh|F48,LightGBM,7,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",383.0,0.9516246480701651
phresh|F48,XGBoost,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 1, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",664.0,0.9501831236368755
phresh|F48,XGBoost,1,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",615.0,0.9485424559261462
phresh|F48,XGBoost,2,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",195.0,0.9499130971596738
phresh|F48,XGBoost,3,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.7}",1041.0,0.9450955460524191
phresh|F48,XGBoost,4,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 1, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1534.0,0.9458286025125157
phresh|F48,XGBoost,5,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",951.0,0.9463527666827124
phresh|F48,XGBoost,6,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",1639.0,0.9481843130869555
phresh|F48,XGBoost,7,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",605.0,0.947331377663687
phresh|F48,XGBoost,8,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""subsample"": 1.0}",1171.0,0.9490989140342067
phresh|F48,XGBoost,9,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""max_depth"": 8, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",577.0,0.9491719150970768
phresh|F48,XGBoost,10,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}",413.0,0.9440706157695646
phresh|F48,XGBoost,11,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",283.0,0.9500164763549105
phresh|F68RV2,LogisticRegression,0,"{""C"": 0.1}",,0.930272881946808
phresh|F68RV2,LogisticRegression,1,"{""C"": 1.0}",,0.9307761732450596
phresh|F68RV2,LogisticRegression,2,"{""C"": 10.0}",,0.9308967187845302
phresh|F68RV2,RandomForest,0,"{""max_depth"": 10, ""min_samples_leaf"": 10}",,0.9261720307894917
phresh|F68RV2,RandomForest,1,"{""max_depth"": 12, ""min_samples_leaf"": 10}",,0.9341488387067016
phresh|F68RV2,RandomForest,2,"{""max_depth"": 12, ""min_samples_leaf"": 30}",,0.9292109147176703
phresh|F68RV2,LightGBM,0,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}",1003.0,0.9585397619101929
phresh|F68RV2,LightGBM,1,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""min_child_samples"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 0.7}",1004.0,0.9577383078796764
phresh|F68RV2,LightGBM,2,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""min_child_samples"": 100, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.85}",345.0,0.9581307187275179
phresh|F68RV2,LightGBM,3,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""min_child_samples"": 100, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",130.0,0.9586167528090648
phresh|F68RV2,LightGBM,4,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""num_leaves"": 63, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",640.0,0.958810719562946
phresh|F68RV2,LightGBM,5,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""num_leaves"": 63, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",339.0,0.9582246605494142
phresh|F68RV2,LightGBM,6,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 50, ""num_leaves"": 127, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",229.0,0.9580653862320758
phresh|F68RV2,LightGBM,7,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""min_child_samples"": 50, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",383.0,0.9558020694402689
phresh|F68RV2,XGBoost,0,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",664.0,0.9548773260562146
phresh|F68RV2,XGBoost,1,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 1.0}",319.0,0.9555264649970062
phresh|F68RV2,XGBoost,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.85}",362.0,0.9567685494809668
phresh|F68RV2,XGBoost,3,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 10, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",919.0,0.9558615545595021
phresh|F68RV2,XGBoost,4,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.7}",319.0,0.9575328660709383
phresh|F68RV2,XGBoost,5,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",274.0,0.9570088178967776
phresh|F68RV2,XGBoost,6,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",351.0,0.9574675544227101
phresh|F68RV2,XGBoost,7,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",1168.0,0.9550629400264188
phresh|F68RV2,XGBoost,8,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 10.0, ""subsample"": 0.85}",626.0,0.9570491700846048
phresh|F68RV2,XGBoost,9,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 10, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.7}",142.0,0.955629119885198
phresh|F68RV2,XGBoost,10,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 5, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}",930.0,0.9538189814313888
phresh|F68RV2,XGBoost,11,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 10, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",1601.0,0.9536906475866466
